Age,Allpops,Bioko,Accra,Principe,SaoTome,DarEsSalaam,Morogoro
0,387,84,187,10,26,23,NA
1,209.09,4,133.22,11,15,8,31
2,474.19,14.88,275.63,12.73,14.98,12.6,20.42
3,222.73,1.06,64.85,5.45,9.63,14.4,17.5
4,237.1,0,178.35,10.91,7.49,10.8,8.75
5,258.65,0,178.35,5.45,9.63,18,8.75
6,143.69,1.06,113.49,1.82,6.42,5.4,5.83
7,114.96,0,48.64,0,5.35,10.8,5.83
8,122.14,0,145.92,1.82,3.21,5.4,2.92
9,43.11,0,32.43,0,2.14,3.6,0
10,50.29,0,32.43,1.82,0,7.2,0
11,35.92,0,48.64,0,0,3.6,0
12,57.48,0,64.85,0,1.07,5.4,0
13,14.37,0,16.21,0,1.07,0,0
14,7.18,0,16.21,0,0,0,0
15,7.18,0,0,0,0,1.8,0
